room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
1259959,2708371,Entire home/apt,,Financial District,12,5.0,5,1.0,192.0,2,37.795337,-122.400986,2013-12-08 00:38:15
1260809,6867346,Entire home/apt,,South of Market,21,4.5,2,1.0,187.0,2,37.784467,-122.387904,2013-12-07 15:22:16
1280597,2245888,Private room,,Financial District,20,4.5,2,1.0,71.0,1,37.791908,-122.402971,2013-12-06 20:44:02
1281167,6346492,Entire home/apt,,Downtown/Civic Center,17,5.0,4,,192.0,1,37.787072,-122.410392,2013-12-06 22:10:01
1290968,1246124,Entire home/apt,,West of Twin Peaks,7,5.0,6,3.0,329.0,3,37.730051,-122.461198,2013-12-07 22:45:22
1295294,4303437,Private room,,South of Market,8,5.0,1,2.0,110.0,2,37.780486,-122.388442,2013-12-07 22:17:09
1299979,2808250,Entire home/apt,,Outer Mission,0,,6,3.0,357.0,6,37.732673,-122.452205,2013-12-07 15:03:42
1301260,4500502,Shared room,,Chinatown,3,4.5,1,1.0,55.0,1,37.792278,-122.405539,2013-12-07 22:56:00
1301781,7053710,Entire home/apt,,South of Market,0,,4,1.0,219.0,4,37.782677,-122.3907,2013-12-08 00:50:08
1304373,2430809,Entire home/apt,,South of Market,7,5.0,4,1.0,175.0,2,37.784569,-122.387627,2013-12-08 18:39:57
1308081,7110688,Private room,,Outer Mission,20,4.5,3,1.0,82.0,3,37.730504,-122.439877,2013-12-08 18:40:25
1309210,5974458,Entire home/apt,,South of Market,2,4.5,6,2.0,658.0,1,37.787915,-122.393299,2013-12-08 00:09:28
1309292,5974458,Private room,,South of Market,7,4.5,1,,165.0,1,37.787397,-122.393238,2013-12-07 13:13:58
1314053,2859644,Private room,,South of Market,0,,2,2.0,109.0,7,37.783236,-122.390638,2013-12-07 16:52:47
1322804,7180466,Private room,,West of Twin Peaks,1,5.0,6,,438.0,2,37.737708,-122.456288,2013-12-08 19:27:12
1328318,6663681,Private room,,Outer Mission,1,5.0,2,1.0,148.0,28,37.732176,-122.445856,2013-12-08 02:30:28
1332876,6663681,Private room,,Outer Mission,1,5.0,1,1.0,132.0,28,37.732845,-122.443859,2013-12-06 22:29:39
1349602,3598246,Private room,,Financial District,15,5.0,2,1.0,153.0,1,37.79036,-122.393875,2013-12-07 03:28:19
1355967,6628087,Private room,,Outer Mission,0,,4,1.0,192.0,1,37.731414,-122.441877,2013-12-08 16:26:09
1356006,6917814,Private room,,Western Addition,0,,1,2.0,164.0,1,37.769483,-122.430282,2013-11-29 21:57:38
1368949,6574496,Private room,,Outer Sunset,4,3.5,2,1.0,60.0,1,37.750582,-122.490487,2013-12-23 13:49:46
1388147,7509472,Entire home/apt,,South of Market,1,5.0,4,1.0,252.0,1,37.787591,-122.390863,2013-12-07 13:13:38
1392204,7526456,Private room,,West of Twin Peaks,12,5.0,3,,87.0,1,37.733172,-122.460498,2013-12-08 04:21:19
1401348,7559480,Entire home/apt,,South of Market,2,4.5,5,2.0,2744.0,4,37.786667,-122.390182,2013-12-07 14:31:20
1416759,6328531,Entire home/apt,,Financial District,0,,2,0.0,209.0,5,37.796372,-122.399841,2013-12-08 00:08:27
1421937,7526456,Private room,,West of Twin Peaks,4,5.0,2,,91.0,1,37.733095,-122.46117,2013-12-07 19:56:53
1451030,7787045,Entire home/apt,,Outer Mission,0,,6,4.0,521.0,1,37.732618,-122.44883,2013-12-07 15:06:24
1455921,3660586,Private room,,South of Market,11,3.5,1,1.0,110.0,1,37.782937,-122.391512,2013-12-07 01:46:45
1456581,919364,Entire home/apt,,Financial District,1,4.5,2,1.0,264.0,3,37.792173,-122.393395,2013-12-07 00:00:34
1474209,6346492,Entire home/apt,,Downtown/Civic Center,8,5.0,4,,192.0,1,37.788975,-122.411211,2013-12-08 15:48:49
1483660,2919862,Private room,,South of Market,0,,2,,274.0,1,37.788535,-122.390806,2013-12-08 04:54:18
1483853,6346492,Entire home/apt,,Downtown/Civic Center,6,5.0,4,,185.0,2,37.788391,-122.409371,2013-12-08 16:03:37
1506892,389384,Entire home/apt,,South of Market,5,5.0,2,1.0,269.0,4,37.785399,-122.393285,2013-12-07 20:58:29
1510363,7303214,Entire home/apt,,West of Twin Peaks,7,5.0,5,2.0,104.0,3,37.728809,-122.45282,2013-12-07 00:21:22
1510980,7054805,Entire home/apt,,Downtown/Civic Center,14,5.0,4,0.0,229.0,2,37.788922,-122.409248,2013-12-08 03:59:46
1511112,7404577,Shared room,,Financial District,1,4.5,1,1.0,66.0,1,37.795753,-122.400024,2013-12-08 18:57:28
1515484,7939808,Entire home/apt,,South of Market,0,,4,2.0,329.0,180,37.788519,-122.389484,2013-12-07 14:26:42
1520435,2621603,Entire home/apt,,South of Market,0,,2,1.0,154.0,1,37.783322,-122.392774,2013-12-07 21:16:20
1521369,4924711,Shared room,,Russian Hill,6,5.0,2,4.0,82.0,1,37.798229,-122.410424,2013-12-07 17:14:15
1526352,4457316,Entire home/apt,,South of Market,1,,6,2.0,1467.0,180,37.784624,-122.391862,2013-12-07 12:57:28
